,id,sentence,normalized_sent_attention,emotion,tags
0,f000001,"good day, ladies and gentlemen.",0.487918116,Neutral,operator reminder conference 
1,f000001,and welcome to the western digital corp second quarter fiscal 2019 conference call.,0.453311678,Neutral,operator reminder conference 
2,f000001,"[operator instructions] as a reminder, this conference is being recorded.",0.611881306,Neutral,operator reminder conference 
3,f000002,"i would like to introduce your host for todays call, mr. peter andrew, vice president of investor relations.",0.755998949,Neutral,vice peter host president investor 
4,f000002,mr. andrew you may begin.,0.486613694,Neutral,vice peter host president investor 
5,f000003,okay.,0.370575181,Neutral,obligation information 
6,f000003,"thank you and good afternoon, everyone.",0.383635262,Neutral,obligation information 
7,f000003,"this conference call will contain forward-looking statements within the meaning of the federal securities laws, including business plans and strategies, industry trends, and business and financial outlook.",0.399243027,Neutral,obligation information 
8,f000003,these forward-looking statements are based on management’s current assumptions and expectations and we assume no obligation to update them to reflect new information or events.,0.877171203,Neutral,obligation information 
9,f000004,please refer to our most recent annual report on form 10-k filed with the sec for more information on the risks and uncertainties that could cause actual results to differ materially.,0.942966535,Strategical,report sec information form refer 
10,f000004,we will also make reference to non-gaap financial measures today.,0.368319719,Strategical,report sec information form refer 
11,f000004,reconciliations between the non-gaap and comparable gaap financial measures are included in the press release and guidance summary that are being posted in the investor relations sections of our website.,0.389663552,Strategical,report sec information form refer 
12,f000005,"with that, i will now turn the call over to steve milligan, our ceo.",1,Neutral,ceo call i 
13,f000006,"thank you, peter, and good morning, everyone.",0.406988754,Strategical,cordano officer chief president mark 
14,f000006,"with me today are mike cordano, president and chief operating officer; and mark long, chief financial officer.",0.903905667,Strategical,cordano officer chief president mark 
15,f000007,"for the second quarter of fiscal 2019, we reported revenue of $4.2 billion and non-gaap gross margin of 31.3%.",0.682811217,Analytical,margin gaap revenue quarter 
16,f000007,non-gaap operating expenses were $738 million and we delivered $1.45 in non-gaap earnings per share with $469 million in operating cash flow during the quarter.,0.538771819,Analytical,margin gaap revenue quarter 
17,f000008,"despite a softening business environment, our fiscal second quarter results were generally within our guidance ranges.",0.370828311,Strategical,outlook 
18,f000008,"consistent with indications we provided at our investor day, overall demand trends exhibited a negative bias as the quarter progressed, subsequent commentaries from several companies in our served markets and highlighted continued demand weakness.",0.447134653,Strategical,outlook 
19,f000008,geopolitical and macroeconomic conditions have contributed to our customers having a more cautious outlook.,0.816206079,Strategical,outlook 
20,f000009,additionally flash industry dynamics remain challenging.,0.653985907,Strategical,industry 
21,f000009,"consequently, our outlook for the march quarter will be significantly weaker than it would otherwise be given normal seasonality.",0.387947117,Strategical,industry 
22,f000009,i will comment on the actions that we are taking in response to current business conditions.,0.53342101,Strategical,industry 
23,f000010,"first, we have been transparent in sharing our views on the evolving business environment and well continue to do so.",0.473446166,Strategical,normalization flash insight 
